SEZIONE,destre_unite_forconi_235,il_popolo_della_famiglia_965,p_r_i_ala_347,potere_al_popolo_4905,civica_popolare_lorenzin_1433,italia_europa_insieme_2371,piu_europa_10296,partito_democratico_53312,sinistra_rivoluzionaria_491,partito_comunista_1366,casapound_896,liberi_e_uguali_18117,italia_agli_italiani_611,movimento_5_stelle_41598,forza_italia_18467,udc_831,lega_26492,fratelli_d_italia_6601,TOTALE
434,1,3,0,5,0,2,12,79,0,4,2,23,0,120,34,1,72,11,369
439,1,0,1,3,0,2,3,42,0,3,2,13,1,17,21,0,20,6,135
440,0,0,0,1,2,2,3,45,0,2,1,9,1,31,9,0,13,3,122
3,0,6,1,14,1,5,29,82,2,4,2,33,1,61,71,1,55,26,394
5,1,3,2,19,2,9,20,59,0,0,4,32,1,45,65,4,61,26,353
7,1,1,1,24,0,6,43,142,1,3,0,54,0,83,48,2,53,17,479
15,0,8,2,17,1,1,32,127,1,3,3,46,2,68,69,1,53,13,447
21,1,2,2,31,1,5,43,117,2,1,1,55,3,83,45,1,59,20,472
23,1,4,1,11,8,4,45,151,0,0,3,49,1,64,54,5,64,16,481
32,0,3,0,15,4,7,24,140,0,5,4,33,4,113,37,3,55,12,459
38,1,2,0,21,0,4,20,98,0,2,2,52,1,86,44,1,62,16,412
40,1,1,3,5,6,4,37,111,1,0,1,30,0,66,64,1,86,16,433
42,1,0,2,16,1,3,32,90,0,5,6,39,2,101,28,1,65,15,407
43,0,4,1,15,5,5,39,160,1,1,0,44,4,76,59,6,86,16,522
45,0,4,2,19,4,3,36,121,3,0,5,57,3,87,81,2,60,35,522
48,0,0,1,8,2,6,42,95,0,2,7,38,2,69,63,1,60,26,422
50,1,1,0,7,8,2,24,86,0,1,2,33,1,64,94,0,66,25,415
57,0,0,0,7,4,2,30,99,0,4,2,47,5,75,66,3,58,30,432
59,1,2,2,19,1,6,23,93,1,2,3,48,1,70,58,1,49,15,395
