SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
396,46,327,13,25,2,2,3,19,141,2,3,0,3,24,1,711.01
397,28,359,15,24,1,1,8,18,113,2,1,0,2,13,4,689.01
400,27,386,12,16,4,3,3,23,113,1,5,0,3,19,0,714.9899999999999
408,36,290,16,24,3,1,7,16,146,1,1,3,4,17,3,668.02
414,26,255,14,34,1,1,2,26,144,0,1,0,7,24,2,637.01
417,38,301,15,23,2,0,2,33,193,2,3,3,6,10,2,733.0000000000002
418,41,330,16,20,5,2,4,22,160,1,0,1,3,21,8,734.0
419,31,266,17,15,1,1,2,29,147,0,1,0,4,18,3,635.0000000000001
421,46,298,15,24,4,3,8,7,146,0,2,0,1,17,16,687.01
426,25,295,18,14,9,7,1,17,106,4,5,1,4,14,2,622.0
428,40,293,16,40,7,3,2,18,128,1,0,2,2,14,1,666.9800000000001
429,26,265,11,22,1,3,1,20,163,0,2,4,10,12,2,641.9900000000001
431,27,239,16,30,1,2,1,30,173,0,0,1,0,18,3,641.0
440,4,53,2,4,0,1,1,5,28,0,0,0,3,5,0,206.0
441,5,33,0,2,0,1,3,1,5,0,0,0,1,1,0,151.99999999999997
2,24,168,17,20,1,2,13,27,201,2,1,1,2,12,3,593.99
6,30,220,9,19,3,3,8,22,204,3,2,3,3,15,4,648.0099999999999
8,27,220,9,26,1,1,6,24,134,0,0,1,8,29,0,586.0200000000001
13,27,151,7,15,1,5,3,9,101,2,0,1,5,16,2,445.02
14,33,256,12,18,1,6,1,16,144,2,1,3,8,21,3,625.0000000000001
19,22,211,16,29,2,0,7,44,255,2,1,1,3,7,5,705.02
22,26,271,10,23,3,1,8,36,216,3,1,1,6,23,3,731.03
24,31,205,19,17,1,3,15,39,287,0,1,1,4,9,1,733.01
25,23,218,12,29,3,2,5,29,207,0,1,1,4,21,2,657.0099999999998
27,31,279,17,29,5,4,8,29,136,0,0,1,3,20,3,664.9999999999999
28,32,263,10,36,1,1,4,37,212,1,0,1,2,16,5,721.0
30,35,243,19,30,7,3,1,29,185,0,0,1,3,17,0,672.9999999999999
31,21,279,18,20,2,2,10,23,174,0,1,2,4,19,3,678.0000000000001
37,34,254,14,35,1,1,4,29,176,3,0,3,4,13,4,674.9900000000001
41,39,268,15,25,2,4,2,35,189,1,0,2,6,17,7,711.99
42,34,229,13,27,4,5,4,25,149,1,1,0,5,20,7,623.9900000000002
44,23,154,13,18,1,2,4,39,224,0,0,2,3,10,3,595.99
