SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
317,42,4,3,264,73,37,17,45,5,14,4,0,1,5,1,27,0,41,583
318,55,1,2,218,83,40,19,28,18,20,0,0,0,9,1,45,0,20,559
319,47,5,0,285,60,36,14,25,9,11,1,0,0,6,0,52,0,13,564
320,45,1,1,222,91,31,19,36,20,17,3,0,3,10,0,34,2,33,568
321,60,3,2,239,69,46,12,45,18,13,1,2,0,7,0,66,3,16,602
322,50,6,2,239,87,46,19,41,20,14,3,1,0,7,1,44,1,32,613
323,58,4,0,248,64,49,10,46,13,7,3,0,1,9,0,30,1,20,563
324,54,3,2,256,75,36,19,51,18,20,0,2,0,3,0,29,2,24,594
325,53,7,2,254,72,58,25,31,19,12,3,0,3,12,0,54,1,15,621
326,51,7,1,228,67,33,14,38,9,19,3,0,1,6,0,59,0,21,557
327,57,7,2,213,82,39,17,37,32,11,1,1,0,2,3,38,4,31,577
328,71,5,1,245,81,46,14,28,18,8,3,1,1,5,1,50,2,20,600
329,69,6,1,238,81,50,20,34,13,10,1,1,0,5,1,51,2,23,606
330,62,4,5,246,78,51,22,38,12,9,2,0,0,8,0,65,1,18,621
331,58,5,2,194,79,33,33,36,22,6,1,0,0,7,1,45,1,31,554
332,64,7,2,187,97,57,27,32,18,19,1,0,1,4,4,60,5,24,609
333,28,5,3,229,64,27,11,25,13,12,1,2,0,13,1,37,1,15,487
334,50,2,3,236,68,50,22,32,14,11,1,0,1,13,0,37,1,13,554
335,67,2,0,197,66,38,15,38,22,17,0,0,0,9,3,38,5,30,547
336,63,1,2,242,105,36,18,47,10,11,3,0,0,5,1,29,2,43,618
337,51,5,1,220,70,66,19,57,17,14,1,0,0,6,2,47,0,17,593
338,78,3,3,226,130,48,17,47,28,11,5,2,1,5,2,35,4,47,692
339,60,2,1,222,90,32,15,41,23,15,0,1,2,7,1,30,1,41,584
340,47,3,0,219,71,49,9,41,10,10,1,2,2,12,4,44,2,14,540
341,38,4,3,217,66,35,21,38,12,3,4,1,0,11,1,39,1,13,507
342,41,7,0,217,65,44,13,42,10,10,2,2,1,10,0,47,1,20,532
343,42,4,1,235,60,50,12,31,19,7,1,1,0,2,1,52,1,8,527
344,57,2,3,248,71,42,29,38,19,8,2,1,0,4,1,29,2,25,581
345,52,5,1,213,83,42,18,49,9,7,1,0,0,8,0,54,1,33,576
346,86,1,2,193,119,34,26,49,25,17,2,1,0,4,4,29,1,24,617
347,91,7,0,177,86,36,18,38,22,15,1,0,0,5,1,32,2,41,572
348,52,5,0,256,72,40,15,32,19,14,2,1,0,5,4,56,0,22,595
349,30,7,4,223,81,41,7,21,14,9,2,2,0,10,1,57,1,11,521
350,31,6,2,265,55,33,14,37,6,10,1,2,2,4,0,56,0,22,546
351,40,3,5,235,66,25,18,40,15,11,2,0,1,8,3,47,1,19,539
352,46,5,1,256,86,49,18,36,21,10,2,1,1,7,0,45,0,20,604
353,55,6,2,282,57,44,25,35,15,10,0,1,1,5,1,47,2,31,619
354,52,3,2,244,84,31,14,51,13,13,0,1,0,8,0,46,2,43,607
355,78,1,2,185,89,32,22,56,11,9,0,1,0,3,0,36,1,55,581
356,50,3,1,184,72,40,14,80,8,8,4,0,0,4,1,48,2,35,554
357,70,6,1,212,98,45,24,62,16,9,1,0,1,10,1,31,2,32,621
358,43,2,2,217,96,40,25,32,10,9,4,2,0,2,1,47,2,15,549
359,54,5,3,205,87,41,17,35,12,5,4,1,3,5,0,46,2,16,541
360,43,3,4,212,85,29,21,41,14,8,3,0,2,10,0,50,4,22,551
361,33,0,5,303,54,33,21,43,14,12,3,4,1,7,2,35,2,17,589
362,29,2,1,254,37,36,26,34,11,10,2,1,1,9,1,55,1,28,538
363,38,9,4,184,103,31,6,39,10,18,3,1,1,10,0,44,1,27,529
364,33,5,1,265,69,42,21,28,13,8,2,0,3,7,1,50,1,9,558
365,31,3,2,232,62,46,18,46,11,20,1,0,1,6,0,53,0,29,561
366,64,3,4,196,94,36,23,38,23,12,1,1,4,4,2,27,3,38,573
367,77,1,3,184,106,26,19,60,26,12,2,0,0,1,3,27,8,56,611
368,56,3,1,240,86,62,15,35,24,19,3,3,0,6,4,42,2,31,632
369,69,2,3,280,99,22,11,73,15,8,1,1,1,3,3,26,0,40,657
370,69,3,7,281,98,35,28,74,24,12,1,0,0,2,0,18,3,46,701
371,80,2,3,273,118,45,18,46,25,6,4,2,0,2,1,43,0,24,692
372,93,3,2,165,118,46,24,38,10,23,1,2,0,7,5,37,2,41,617
373,70,2,2,194,88,40,19,38,17,9,2,0,1,1,2,41,3,32,561
374,64,2,1,229,113,37,8,48,15,14,5,0,2,4,4,44,4,43,637
375,71,3,2,154,95,46,17,50,15,12,1,0,0,4,0,56,5,34,565
376,90,4,2,201,90,32,19,48,28,10,0,0,1,3,0,31,0,30,589
377,46,5,2,248,72,51,18,64,14,4,1,0,0,1,1,39,2,33,601
378,58,3,1,236,85,39,13,40,25,9,4,2,1,3,0,39,1,31,590
379,50,5,1,259,87,28,11,46,27,13,2,1,3,3,1,29,5,35,606
380,46,1,4,221,74,39,20,47,14,15,3,1,0,10,0,28,4,21,548
381,40,9,5,196,104,39,20,41,4,6,1,1,0,9,1,41,1,25,543
382,66,3,1,246,71,44,15,32,14,21,4,0,0,3,1,40,1,30,592
383,51,0,5,227,101,43,17,41,15,15,5,0,0,6,2,34,2,27,591
384,67,3,1,290,102,36,18,46,16,9,0,1,0,4,0,17,1,25,636
385,57,3,1,211,92,38,17,56,16,13,2,0,0,5,3,35,6,36,591
386,51,4,1,247,80,50,18,48,20,15,1,3,1,5,0,31,1,21,597
387,61,3,3,143,94,43,32,93,19,14,2,0,2,5,0,23,5,56,598
388,74,1,1,226,92,37,11,44,20,12,3,1,1,6,1,33,2,40,605
389,62,5,2,195,88,35,12,61,14,13,0,0,0,4,3,28,2,52,576
390,48,2,0,251,78,52,16,44,16,9,1,0,0,8,1,53,0,31,610
391,59,2,2,232,74,41,23,35,8,5,0,7,0,2,1,38,3,34,566
392,43,4,2,199,79,36,20,50,11,9,3,0,1,3,1,37,1,29,528
393,46,1,4,266,75,34,14,43,16,5,1,0,0,4,1,44,1,8,563
394,60,2,1,210,111,43,13,58,22,14,0,0,2,6,1,30,1,32,606
395,49,1,1,207,84,23,28,57,24,14,1,0,0,6,0,37,1,37,570
396,72,1,0,232,83,37,19,57,15,12,2,2,0,2,1,30,1,48,614
397,53,2,0,272,78,44,20,42,13,11,2,0,0,3,0,28,1,25,594
398,67,6,3,196,105,49,12,30,12,10,1,0,0,4,1,51,2,29,578
399,48,2,2,267,90,25,23,40,16,7,0,1,0,3,1,30,0,51,606
