SEZIONE,collegio_camera,l_ulivo_per_rutelli,lista_di_pietro,casa_delle_liberta,lista_pannella_bonino,democrazia_europea,TOTALE
194,16,271,12,359,13.0,22.0,792.9995421
195,16,289,14,306,22.0,10.0,756.9958034299999
198,14,568,35,299,,,1016.00117517
200,14,461,25,204,,,804.0015942
202,14,446,29,243,,,831.99699164
204,14,498,37,237,,,885.99777202
205,14,430,39,253,,,835.9967867
207,14,517,36,238,,,905.00030341
209,14,483,21,188,,,805.99768786
214,14,422,29,248,,,813.00195994
215,14,335,27,178,,,653.99703704
217,14,458,29,186,,,787.00349183
218,14,493,31,168,,,806.0027745699999
219,14,694,28,179,,,1015.00552719
220,14,456,19,208,,,796.99427526
225,14,418,23,233,,,787.99780415
230,14,476,37,204,,,830.99772664
235,14,473,30,186,,,803.00021771
236,14,526,17,129,,,786.00380952
238,14,474,22,208,,,818.0095454499999
239,14,478,20,177,,,788.99481481
241,14,472,20,195,,,800.9945123699999
244,14,530,28,185,,,857.0024360699999
246,14,459,36,227,,,836.0034072000001
250,14,478,21,170,,,782.9999252599999
254,14,514,17,165,,,810.00057471
255,14,482,21,172,,,788.99740741
256,14,345,24,223,,,705.99702703
260,13,448,20,189,12.0,11.0,792.99235294
261,13,368,18,204,15.0,11.0,729.01025974
262,13,375,14,240,22.0,11.0,774.98652568
265,13,280,11,152,12.0,15.0,582.99446809
267,13,341,19,238,18.0,14.0,743.00698413
270,13,432,17,192,16.0,10.0,780.00761619
272,13,330,24,234,11.0,10.0,721.9971921199999
275,13,441,24,195,15.0,16.0,804.00054993
278,13,432,26,182,20.0,8.0,781.00065868
282,13,412,18,216,17.0,6.0,782.00445441
284,13,439,22,165,17.0,11.0,766.99538226
287,13,472,18,171,17.0,10.0,800.9946511600001
288,13,401,15,200,12.0,7.0,747.9996063000001
289,13,465,24,179,16.0,6.0,803.00130435
290,13,472,23,185,23.0,8.0,823.99537271
291,13,379,18,150,11.0,10.0,681.0053521100001
294,13,452,18,206,9.0,1.0,798.9992128299999
295,13,495,16,136,12.0,6.0,777.9960902299999
297,14,531,30,213,,,888.00465116
299,14,455,32,184,,,784.99923994
302,14,486,31,211,,,841.99824176
304,14,339,30,229,,,711.99896321
305,14,450,35,157,,,755.99345794
310,14,462,27,198,,,800.9989083
312,14,557,13,130,,,814.0014285699999
315,14,444,32,190,,,779.9966666700001
319,14,516,24,137,,,791.0086115199999
324,14,418,15,207,,,753.9925000000001
329,14,430,28,173,,,745.00580032
331,13,398,26,211,20.0,10.0,777.99962406
334,13,422,23,195,17.0,13.0,782.99507463
339,13,409,24,212,24.0,12.0,793.9887371499999
340,13,436,25,199,23.0,8.0,804.0069609300001
342,13,423,26,178,17.0,8.0,765.00730061
343,13,458,15,158,21.0,4.0,769.00707317
345,13,429,23,161,17.0,11.0,754.00667707
348,13,456,18,169,15.0,13.0,784.0082712400001
352,13,420,17,189,28.0,3.0,770.00694064
354,13,421,11,223,15.0,12.0,795.00020528
356,13,439,16,171,19.0,11.0,769.01073171
358,13,412,29,173,13.0,6.0,745.99688784
361,13,508,23,134,13.0,6.0,796.99900585
366,13,318,10,181,18.0,8.0,647.99925234
371,12,362,14,282,22.0,8.0,799.99627907
383,12,404,27,228,15.0,4.0,789.9970206500001
384,12,528,11,228,17.0,13.0,908.99843162
387,12,364,23,261,12.0,33.0,804.99525253
390,12,457,20,177,6.0,8.0,780.00317365
