SEZIONE,partito_comunista_lavoratori,u_d_c_e_democratici_centro,partito_liberale_italiano,forza_nuova,la_sinistra_l_arcobaleno,il_popolo_della_liberta,lega_nord,la_destra_fiamma_tricolore,unione_democratica_consumatori,italia_dei_valori,partito_democratico,sinistra_critica,per_il_bene_comune,partito_socialista,TOTALE
446,0,4,0,0,2,18,3,2,0,5,27,0,0,0,161.01
1,0,8,0,2,13,134,17,5,1,15,107,0,2,7,411.0
2,0,24,2,1,21,207,17,16,0,21,154,1,2,2,568.0099999999999
7,4,26,2,0,47,161,14,13,2,31,235,3,2,4,644.02
11,5,19,2,3,32,133,20,6,0,20,173,0,0,6,518.9899999999999
12,4,19,1,1,69,108,10,7,1,38,226,2,3,1,589.99
14,3,19,2,2,54,148,15,8,0,28,210,0,0,7,595.99
18,1,29,5,1,28,217,26,8,1,24,196,0,3,2,640.99
27,4,31,1,1,29,144,21,12,0,23,271,2,2,5,646.0
33,0,26,1,4,41,146,25,10,3,24,253,1,0,8,642.0
37,2,35,3,3,14,181,24,13,2,30,236,1,3,4,650.98
39,6,17,3,2,35,143,21,14,2,25,284,2,5,3,662.0
42,3,24,5,0,25,148,26,12,3,25,216,3,7,7,604.02
43,0,24,3,0,15,197,32,13,1,26,245,0,4,4,664.0000000000002
44,3,14,1,2,16,230,26,8,1,19,138,3,2,3,565.9799999999999
47,3,18,4,3,25,183,39,9,2,22,189,1,1,6,605.0000000000001
48,1,32,1,6,25,277,25,9,1,18,202,0,3,5,705.0300000000001
52,1,25,2,0,18,254,36,7,3,18,144,0,0,1,609.01
55,6,20,0,0,38,205,27,5,1,38,160,0,4,3,607.0099999999999
57,2,21,2,1,17,223,28,16,5,22,162,1,1,4,605.0200000000001
61,1,21,0,1,27,186,21,10,1,22,193,1,2,6,591.99
62,5,16,1,0,25,165,19,8,2,21,177,0,6,6,551.0
66,2,24,0,4,41,145,28,9,7,51,324,2,3,6,745.9899999999998
71,1,32,3,1,20,178,33,8,2,30,242,2,3,5,660.01
75,2,25,2,4,33,161,26,17,3,38,249,1,4,4,669.0
77,4,19,1,2,34,166,23,16,1,34,249,1,2,3,654.9899999999999
78,1,18,3,6,19,188,27,22,5,24,225,0,2,3,642.9800000000001
83,4,32,2,2,29,146,8,7,3,31,225,3,1,8,601.0200000000001
87,1,13,0,1,45,192,18,7,3,18,206,5,0,3,612.0300000000001
88,1,16,1,1,78,97,12,5,0,18,185,3,7,3,527.0000000000001
90,1,16,0,2,37,178,26,8,2,24,188,2,0,3,587.01
92,2,9,0,1,71,122,15,5,0,31,213,4,1,4,578.01
96,2,14,0,0,52,159,16,15,0,23,158,4,2,2,547.01
97,4,21,1,1,39,138,18,7,0,30,197,3,3,1,563.02
100,3,20,2,1,31,128,15,10,1,20,196,0,2,4,532.99
104,1,38,3,0,35,205,16,6,2,26,237,1,1,7,678.0
108,7,17,5,0,24,86,7,7,3,39,280,3,2,7,587.02
110,4,23,0,1,29,132,18,10,1,40,305,4,8,2,677.0000000000001
112,2,25,0,5,55,130,17,15,2,35,239,6,0,1,632.02
113,0,26,2,0,21,151,17,13,0,48,256,2,4,2,642.01
117,1,29,0,1,28,186,26,4,1,30,283,2,7,7,705.02
123,1,30,0,0,24,197,20,5,2,29,227,1,3,3,641.9899999999999
130,2,22,4,0,31,157,20,12,0,40,309,3,3,4,706.99
139,0,33,1,0,15,219,25,5,1,17,141,0,0,9,565.9899999999999
145,0,25,0,1,16,223,20,11,1,23,169,4,5,2,599.9999999999999
147,1,22,2,2,57,174,22,10,0,32,227,2,0,3,654.0
150,3,22,0,2,36,135,26,11,1,17,168,3,1,2,526.9900000000001
152,0,27,1,1,25,211,21,7,0,16,148,1,1,0,559.02
155,1,25,0,3,26,230,16,12,2,30,195,1,0,4,644.9899999999999
157,3,32,1,0,16,239,36,6,1,22,192,0,3,0,650.9899999999999
160,4,35,3,2,33,217,15,4,1,20,170,2,1,2,609.01
161,2,51,1,2,28,198,30,5,1,31,157,1,3,5,615.0000000000001
163,1,43,0,0,20,179,17,14,0,25,181,0,2,2,583.9899999999999
164,2,20,2,3,26,242,37,7,0,18,162,1,2,2,624.0
169,0,12,1,1,35,143,20,13,3,29,223,2,0,4,586.0000000000001
178,0,20,2,2,35,168,16,10,0,29,235,1,4,4,625.99
181,1,16,0,1,21,162,18,9,1,30,245,1,5,3,612.9700000000001
183,3,31,2,1,21,196,15,6,1,27,165,1,3,4,575.99
192,0,26,0,1,41,218,31,8,2,27,199,2,2,1,658.01
194,1,76,1,0,17,259,27,10,0,8,178,0,1,5,683.01
196,2,20,1,2,18,247,26,5,3,16,139,1,0,2,581.98
197,3,21,1,1,13,236,36,13,0,24,187,0,3,0,638.02
199,6,24,4,2,31,150,21,18,0,52,372,5,2,5,792.0
203,4,18,0,2,22,141,22,16,1,27,373,0,0,5,731.01
209,5,23,3,0,22,132,19,6,0,50,350,3,2,7,721.99
215,3,22,0,1,28,125,18,12,0,20,282,1,1,6,618.9900000000001
218,2,13,1,1,24,115,7,20,2,20,367,4,1,8,684.9999999999999
224,6,13,6,0,21,145,17,15,3,34,350,2,3,4,718.98
227,3,14,3,0,22,108,17,11,1,18,292,2,1,2,593.98
228,6,14,3,2,17,123,11,9,3,16,320,2,5,3,633.99
229,2,23,1,0,21,162,23,9,0,19,290,2,7,8,667.0
230,9,16,2,3,36,143,28,23,1,33,360,2,3,2,760.98
231,3,9,0,3,16,128,19,8,0,22,267,1,3,6,585.02
232,7,20,2,4,23,113,8,9,1,23,324,3,1,1,639.0100000000001
233,5,17,2,1,20,152,17,19,4,35,318,3,2,1,696.01
