tile_id,i,j,x,y,people,hc1,hc2,pvhe
1784,55,19,55,19,142,4.0274086,0.28904447,-0.0045633789327118
1785,56,19,56,19,111,3.048901,0.20019892,-0.007186494202792344
1786,57,19,57,19,163,4.3457665,0.27574176,-0.0083420048549874
1787,58,19,58,19,83,2.136144,0.11622506,-0.0072269769110712475
1788,59,19,59,19,9,0.22357054,0.010023377,-0.002968340120346991
1789,60,19,60,19,7,0.16889937,0.006907553,-0.0034823845905658543
1793,64,19,64,19,7,0.15515614,0.0061417683,0.0007686543417907
1794,65,19,65,19,106,2.3185427,0.10807802,-0.004336346201311436
1795,66,19,66,19,2,0.04276527,0.0017640524,-0.009084283749413991
1796,67,19,67,19,1,0.020895563,0.00081639626,-0.0091769843271025
1797,68,19,68,19,1,0.020412287,0.00077299995,-0.0091769843271025
1798,69,19,69,19,10,0.19928612,0.0074566454,-0.0091769843271025
1799,70,19,70,19,6,0.11658408,0.004228499,-0.0091769843271025
1800,71,19,71,19,4,0.07575672,0.0026728518,-0.0091769843271025
1801,72,19,72,19,5,0.092392445,0.003253138,-0.009193554748646925
1802,73,19,73,19,19,0.3430751,0.012557088,-0.00924909604586016
1803,74,19,74,19,13,0.22933184,0.008492985,-0.009300662704992798
1804,75,19,75,19,17,0.293241,0.011245633,-0.010894379235995351
1805,76,19,76,19,18,0.30396453,0.012444806,-0.009511302936500536
1806,77,19,77,19,35,0.57821244,0.026222447,-0.00773477490229171
1807,78,19,78,19,30,0.47962713,0.019811494,-0.006022460988265764
1808,79,19,79,19,12,0.18539311,0.006752916,0.0036164326810249883
1809,80,19,80,19,4,0.0601102,0.0021792296,-0.003283348445690554
1810,81,19,81,19,74,1.0942824,0.052965816,-0.0065627337396191605
1811,82,19,82,19,310,4.5087395,0.3070747,-0.010353910309035737
1846,26,20,26,20,54,1.0598403,0.039484672,-0.015392328969881554
1847,27,20,27,20,23,0.4677461,0.018397,-0.01506433054549282
