tile_id,x,y,people,pvhe
6380,56,62,1635,-0.058259232968357416
6381,57,62,4296,-0.03361455736634978
6382,58,62,2270,-0.040442787381064146
6383,59,62,111,-0.05541399053620598
6384,60,62,102,-0.05324796763961194
6385,61,62,5,-0.05045399312866804
6386,62,62,172,-0.048296390071680094
6387,63,62,807,-0.04609275054616378
6388,64,62,951,-0.04351673139048742
6389,65,62,622,-0.038424213461132804
6390,66,62,358,-0.02667924164098747
6391,67,62,266,-0.02145280087461394
6392,68,62,122,-0.02124664391046315
6439,13,63,35,-0.0283895410231364
6440,14,63,376,-0.02161517121712699
6441,15,63,18,-0.026721529947109704
6444,18,63,191,0.003153605245433789
6445,19,63,318,0.004658509833447663
6446,20,63,183,-0.002911645058995486
6447,21,63,1386,-0.017301888902041995
6448,22,63,1040,-0.02398074123166593
6449,23,63,961,-0.01975337523939081
6450,24,63,2035,-0.03156445311495873
6451,25,63,1600,-0.043737976772222416
6452,26,63,4,-0.0556655810028069
6453,27,63,4,-0.0556655810028069
6454,28,63,26,-0.05623563037543007
6455,29,63,56,-0.05145252439045084
6456,30,63,3214,-0.06793011452032251
6457,31,63,4681,-0.06965084502755556
6458,32,63,796,-0.05914486162917687
6459,33,63,1428,-0.052152417740171576
6460,34,63,1412,-0.042371411032662114
6461,35,63,535,-0.040680669124459924
6462,36,63,1663,-0.050279074317982946
6463,37,63,3572,-0.06685818077777551
6464,38,63,2789,-0.0509575883068578
6465,39,63,3002,-0.04584717350221087
6466,40,63,61,-0.047623143797039795
6467,41,63,28,-0.05227194120419337
6468,42,63,7,-0.053098029248268674
6469,43,63,13,-0.056819447442620255
6470,44,63,93,-0.0728235893464115
6471,45,63,862,-0.07596997026430923
6472,46,63,6048,-0.07550808165726375
6473,47,63,7185,-0.08337541672717828
6474,48,63,4712,-0.09154624128885368
6475,49,63,3701,-0.10088635670437655
6476,50,63,1198,-0.09021107123655223
6477,51,63,3979,-0.08291126350619396
6478,52,63,5637,-0.08397461570241402
6479,53,63,3730,-0.0971887796496992
6480,54,63,1698,-0.07827537718430089
6481,55,63,2098,-0.06738404538923355
6482,56,63,2078,-0.0605731387458781
6483,57,63,2728,-0.04610850463641545
6484,58,63,167,-0.02772765982348435
6485,59,63,1300,-0.04398552554618333
6486,60,63,1791,-0.05855098305793354
6487,61,63,265,-0.05405589259390799
6489,63,63,646,-0.049738727889349486
6490,64,63,2234,-0.04851220169498961
6491,65,63,565,-0.05160155358044541
6492,66,63,230,-0.03031347608027246
6493,67,63,30,-0.0202484549122915
6540,12,64,1,-0.0283895410231364
6541,13,64,242,-0.0283895410231364
6542,14,64,149,-0.0283895410231364
6543,15,64,23,-0.02354037368252433
6544,16,64,2,0.00067104417962576
6545,17,64,31,0.0031530211197335
6546,18,64,68,0.0031530211197335
6547,19,64,88,0.002800630061941983
6548,20,64,18,-0.009161193479787057
