SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
683,761,26,1,195,23,0,8,7,77,12,6,6,1,0,138,1,46,6,3,556,0.7306176084099869
684,782,34,1,206,14,1,11,6,84,18,1,5,4,0,124,3,79,4,0,595,0.7608695652173914
685,807,30,1,200,19,0,15,3,104,9,4,8,1,0,150,2,64,6,1,617,0.7645600991325898
686,816,45,4,160,22,0,6,11,93,12,1,8,0,0,168,1,61,2,1,595,0.7291666666666666
687,895,46,9,198,24,0,16,5,140,8,0,15,1,0,162,1,46,5,3,679,0.758659217877095
688,783,44,2,203,24,0,6,3,89,18,3,5,2,0,143,1,49,6,1,599,0.7650063856960408
689,753,45,0,175,29,0,3,2,67,7,4,8,1,0,140,4,34,2,1,522,0.6932270916334662
690,778,50,1,150,14,0,21,7,100,20,4,5,2,3,170,3,50,3,0,603,0.7750642673521851
691,736,19,3,137,13,0,5,4,117,10,3,1,0,0,125,4,40,29,1,511,0.6942934782608695
692,539,16,2,95,8,1,4,3,91,6,3,1,1,1,114,1,17,5,0,369,0.6846011131725418
693,702,14,2,119,7,1,8,5,127,13,0,6,1,1,135,3,35,5,1,483,0.688034188034188
694,541,17,3,89,10,0,7,2,91,5,4,0,1,3,110,1,27,5,0,375,0.6931608133086876
695,847,21,3,168,12,0,13,9,126,16,1,3,1,0,156,2,30,7,2,570,0.6729634002361276
696,632,33,2,127,10,1,3,2,111,5,3,4,0,1,96,4,31,3,3,439,0.694620253164557
697,647,13,3,136,10,0,7,9,126,17,1,2,3,2,114,3,29,7,1,483,0.7465224111282844
698,847,28,1,116,29,1,9,6,118,20,7,10,0,3,159,0,40,0,2,549,0.6481700118063755
