tile_id,x,y,people,hc1,hc2,pvhe
2428,60,32,357,11.863399,0.9514076,-0.06811665798577415
2429,61,32,325,10.306008,0.7836159,-0.06391795102335164
2430,62,32,816,24.918337,2.1111197,-0.06780699398742872
2431,63,32,869,25.439749,2.2285407,-0.061865889087797075
2432,64,32,859,23.774303,1.919466,-0.07448878358258712
2433,65,32,166,4.272141,0.2360486,-0.056890634769410114
2434,66,32,7,0.1687375,0.0067778043,-0.061866863588629514
2435,67,32,31,0.70818937,0.024903907,-0.03756648356581024
2436,68,32,23,0.5006299,0.01608244,-0.0375655348325607
2437,69,32,6,0.12468159,0.0035911365,-0.0375655348325607
2438,70,32,6,0.119339645,0.003159332,-0.0375655348325607
2439,71,32,10,0.19081335,0.004723486,-0.0375655348325607
2444,2,33,1,0.0132868765,0.00022183599,-0.0271457836726165
2445,3,33,1,0.013712112,0.00024073309,-0.0271457836726165
2447,5,33,4,0.058715273,0.0011745552,-0.0271457836726165
2451,9,33,4,0.06922053,0.0020276324,-0.0493264475622281
2452,10,33,7,0.12755224,0.004469077,-0.04934158260357792
2453,11,33,92,1.7788664,0.082005695,-0.057935574464955404
2454,12,33,128,2.6355534,0.15236989,-0.054092868209762696
2455,13,33,164,3.6055603,0.25799468,-0.04830277741336935
2456,14,33,586,13.807116,1.3083286,-0.03982880789181926
2457,15,33,816,20.297895,2.2069457,-0.03720047108945498
2458,16,33,900,23.025166,2.451839,-0.03573838653054014
2459,17,33,353,9.087256,0.77111065,-0.037102590162715304
2460,18,33,2,0.05197766,0.0034828663,-0.04060338067886815
2461,19,33,158,4.254564,0.31306836,-0.04381395536062346
2462,20,33,696,19.705038,1.8492061,-0.04581486363198813
2463,21,33,1462,43.309555,4.864879,-0.04664036538951529
2464,22,33,1174,35.448097,3.6220946,-0.04808558814582997
2465,23,33,201,6.096295,0.45658883,-0.0312814021108881
2466,24,33,43,1.3282415,0.08533234,-0.04923528945439522
2467,25,33,10,0.31960642,0.02049625,-0.06676322735651913
2468,26,33,677,22.910551,1.9371332,-0.057038917549888386
2469,27,33,1149,41.39077,4.35664,-0.05450627701186082
2470,28,33,1106,42.013313,4.9196153,-0.06429665141208608
2471,29,33,2109,83.713745,11.204396,-0.06687629053049624
2472,30,33,1939,78.394226,10.135919,-0.06805840698387357
2473,31,33,1282,51.94343,5.898519,-0.084852297475554
2474,32,33,314,12.708738,1.2054975,-0.0552834542714957
2475,33,33,640,26.425152,2.693334,-0.06227797586714205
2476,34,33,1727,73.37053,8.939963,-0.0811223424512155
2477,35,33,1044,44.467163,5.0042405,-0.0877786497541122
2478,36,33,779,33.255795,3.6293206,-0.08693739448151101
2479,37,33,1830,78.63399,9.4372835,-0.07834600862637046
2480,38,33,251,10.541441,0.99330455,-0.07103275039816948
2481,39,33,225,9.308481,0.789009,-0.06615837124381341
2482,40,33,435,17.96014,1.567942,-0.0746430546206042
2483,41,33,612,25.265322,2.2974913,-0.04403383639340066
2484,42,33,441,18.080984,1.5820311,0.0010236678828402061
2485,43,33,700,28.554556,2.5668662,-0.07560098655824425
2486,44,33,892,35.991848,3.1663828,-0.0803805352253483
2487,45,33,422,16.700153,1.2488824,-0.07011884290285293
2488,46,33,150,5.8551207,0.38485512,-0.05466667200555809
2489,47,33,245,9.556651,0.6419812,-0.0541813274437659
2490,48,33,476,18.714,1.3736262,-0.05036297080170287
2491,49,33,733,29.190315,2.377373,-0.06860233896152929
2492,50,33,330,13.290328,1.0924695,-0.06344126364384703
2493,51,33,1096,45.155396,4.510696,-0.05169531438909572
2494,52,33,842,35.16671,3.7150068,-0.06101899913666069
2495,53,33,1862,78.87207,9.748593,-0.052353524155768244
2496,54,33,1600,67.24012,8.181125,-0.05879149432924598
2497,55,33,1653,68.29551,8.206664,-0.09197527099048061
2498,56,33,970,38.957954,4.2786484,-0.08618694734461857
2499,57,33,728,28.435757,3.0274725,-0.07807956821308842
2500,58,33,1579,60.349068,7.211377,-0.07551117487984013
2501,59,33,931,34.092236,3.7640247,-0.07577239660895556
2502,60,33,1630,56.9731,6.4264216,-0.0733638326012883
2503,61,33,463,15.058019,1.2626476,-0.06087444630092821
2504,62,33,251,7.673497,0.54545873,-0.051536890361051184
2505,63,33,298,8.628679,0.5764601,-0.04703062978075179
2506,64,33,79,2.1548798,0.121373504,-0.05403109544413312
2507,65,33,37,0.94840586,0.04327192,-0.048514316554993366
2508,66,33,5,0.120904826,0.0045672595,-0.048370043084587526
2509,67,33,12,0.27541563,0.009282316,-0.04243455987412202
2510,68,33,9,0.19680479,0.0060457545,-0.04247978129535837
2511,69,33,6,0.12532867,0.0035344805,-0.04254597673943552
2512,70,33,6,0.12000071,0.0031488517,-0.04262749397761485
2513,71,33,10,0.19188836,0.0047349664,-0.042671197750207154
2525,9,34,1,0.017277218,0.0004891397,-0.0493264475622281
2527,11,34,86,1.6615084,0.07660777,-0.045997020754368435
2528,12,34,156,3.2087774,0.18737066,-0.03960558895240181
2529,13,34,46,1.0039359,0.06596677,-0.04451200837304824
2530,14,34,304,7.0615616,0.58487815,-0.03200611493851176
2531,15,34,484,11.798595,1.0953405,-0.035001164499904064
2532,16,34,449,11.19143,0.9609472,-0.04201421596126484
2533,17,34,51,1.2763895,0.081542395,-0.04284528797615121
2534,18,34,1,0.025419256,0.0013852749,-0.042091159390351116
2536,20,34,5,0.13640738,0.008385558,-0.0406093326475094
2537,21,34,5,0.14163753,0.009417526,-0.056093213625372056
2538,22,34,20,0.5824268,0.03785488,-0.05483484735495708
2539,23,34,37,1.1020087,0.065714605,-0.0312814021108881
2541,25,34,10,0.31909415,0.019358344,-0.07213937967840993
2542,26,34,17,0.57386863,0.041986775,-0.04892683381795451
2543,27,34,376,13.576879,1.3022988,-0.06269325163913551
2544,28,34,471,17.951908,1.9391084,-0.06527120680937197
