SEZIONE,+Europa,Casapound Italia,Civica Popolare Lorenzin,Forza Italia,Fratelli d'Italia con Giorgia ,Il Popolo della Famiglia,Italia Europa Insieme,Italia agli Italiani,Lega,Liberi e Uguali,Movimento 5 Stelle,Noi con l'Italia - UDC,Partito Democratico,Partito Repubblicano Italiano ,Per Una Sinistra Rivoluzionari,Potere al Popolo!,TOTALE,AFFLUENZA
746,45,5,5,56,21,0,5,5,80,30,101,4,118,0,4,8,487,0.5559360730593608
747,29,3,3,84,36,3,4,5,125,28,143,10,147,0,2,6,628,0.6067632850241546
748,47,4,3,63,14,0,6,0,65,28,91,6,91,1,0,6,425,0.5614266842800528
749,49,1,1,72,7,0,1,2,64,23,88,1,107,0,0,9,425,0.529925187032419
751,48,3,0,63,15,2,5,4,77,20,89,1,100,0,0,7,434,0.5391304347826087
752,70,5,5,65,22,2,2,1,72,37,80,1,137,1,1,20,521,0.619500594530321
753,41,0,0,71,18,3,0,2,83,19,96,5,107,0,0,8,453,0.5551470588235294
755,28,5,1,78,22,5,3,2,112,37,130,2,143,0,2,9,579,0.625945945945946
756,23,1,0,57,16,2,1,2,86,21,73,1,108,2,1,9,403,0.5708215297450425
760,58,2,3,74,19,2,1,4,94,47,96,12,127,1,3,19,562,0.6036519871106337
762,38,4,1,38,14,1,7,1,61,32,72,4,108,1,3,13,398,0.5195822454308094
765,36,1,1,56,10,3,3,4,68,24,68,2,84,0,2,6,368,0.5476190476190477
766,36,3,9,77,26,2,2,2,117,14,159,4,108,0,2,2,563,0.6159737417943107
767,31,6,1,61,20,3,3,1,93,19,163,3,126,0,1,3,534,0.6040723981900452
770,35,4,0,55,19,2,6,1,90,23,74,3,123,0,0,8,443,0.5544430538172715
771,41,1,3,45,14,0,2,1,66,17,69,4,100,1,2,6,372,0.5152354570637119
772,67,6,2,48,22,2,3,1,72,28,74,7,139,0,3,10,484,0.6111111111111112
775,26,4,4,89,29,3,0,2,100,18,104,8,129,0,0,6,522,0.6229116945107399
776,53,3,2,84,21,0,2,3,150,22,121,6,136,1,1,7,612,0.6341968911917099
778,32,4,1,72,25,2,3,1,79,24,105,1,125,1,0,11,486,0.5912408759124088
780,32,7,5,85,26,2,2,2,111,41,121,9,169,2,1,7,622,0.6182902584493042
781,40,8,2,85,32,2,4,3,151,32,178,8,130,0,4,9,688,0.6335174953959485
783,31,1,1,80,21,2,2,1,84,28,113,5,126,0,1,2,498,0.7248908296943232
784,34,6,1,68,12,1,4,2,74,29,110,5,157,1,3,10,517,0.6221419975932612
785,36,9,1,108,21,2,4,3,143,30,120,6,123,0,1,5,612,0.5895953757225434
786,43,3,3,76,29,6,6,0,87,31,114,5,146,1,3,8,561,0.68
788,22,4,3,69,17,1,1,3,106,29,164,3,114,1,3,6,546,0.5921908893709328
789,22,5,2,98,17,1,2,6,128,25,119,7,160,5,1,6,604,0.6201232032854209
790,42,9,3,68,25,9,4,1,99,32,113,5,161,0,2,8,581,0.5965092402464066
791,31,9,4,82,18,3,3,6,135,24,130,9,105,0,1,5,565,0.5916230366492147
792,28,4,3,107,25,3,2,4,162,32,167,14,151,0,2,12,716,0.6199134199134199
793,34,8,3,89,29,9,1,5,131,31,151,9,141,1,4,15,661,0.5808435852372583
